Remco Evenepoel,Soudal - Quick Step,909,28
Wout Van Aert,Team Visma | Lease a Bike,515,22
Daniel Martínez,BORA - hansgrohe,879,20
Filippo Ganna,INEOS Grenadiers,109,18
Thomas Pidcock,INEOS Grenadiers,404,16
Mikel Landa,Soudal - Quick Step,170,16
Isaac Del Toro,UAE Team Emirates,94,16
Marc Hirschi,UAE Team Emirates,9,16
Sergio Higuita,BORA - hansgrohe,310,14
Jordi Meeus,BORA - hansgrohe,209,12
Rui Costa,EF Education-EasyPost,8,12
Ben Healy,EF Education-EasyPost,342,12
Stefan Küng,Groupama - FDJ,247,12
Thymen Arensman,INEOS Grenadiers,344,12
Geraint Thomas,INEOS Grenadiers,29,12
Gerben Thijssen,Intermarché - Wanty,387,12
Tao Geoghegan Hart,Lidl - Trek,253,12
Sepp Kuss,Team Visma | Lease a Bike,456,12
Arnaud Démare,Arkéa - B&B Hotels,96,10
Maximilian Schachmann,BORA - hansgrohe,76,10
Marijn Van Den Berg,EF Education-EasyPost,154,10
Valentin Madouas,Groupama - FDJ,10,10
Magnus Sheffield,INEOS Grenadiers,234,10
Andrea Bagioli,Lidl - Trek,0,10
Tiesj Benoot,Team Visma | Lease a Bike,20,10
Marius Mayrhofer,Tudor Pro Cycling Team,137,10
Matteo Trentin,Tudor Pro Cycling Team,3,10
Magnus Cort,Uno-X Mobility,125,10
Rasmus Tiller,Uno-X Mobility,80,10
Lars Boven,Alpecin-Deceuninck,116,8
Quinten Hermans,Alpecin-Deceuninck,6,8
Stan Van Tricht,Alpecin-Deceuninck,6,8
Jenthe Biermans,Arkéa - B&B Hotels,0,8
Thibault Guernalec,Arkéa - B&B Hotels,0,8
Daniel McLay,Arkéa - B&B Hotels,0,8
Florian Sénéchal,Arkéa - B&B Hotels,10,8
Samuele Battistella,Astana Qazaqstan Team,0,8
Yevgeniy Fedorov,Astana Qazaqstan Team,40,8
Christian Scaroni,Astana Qazaqstan Team,251,8
Simone Velasco,Astana Qazaqstan Team,83,8
Stefan Bissegger,EF Education-EasyPost,88,8
Lewis Askey,Groupama - FDJ,0,8
Vito Braet,Intermarché - Wanty,14,8
Rune Herregodts,Intermarché - Wanty,85,8
Hugo Page,Intermarché - Wanty,14,8
Mike Teunissen,Intermarché - Wanty,24,8
Jasper Stuyven,Lidl - Trek,147,8
Edward Theuns,Lidl - Trek,42,8
Mattia Cattaneo,Soudal - Quick Step,122,8
James Knox,Soudal - Quick Step,35,8
John Degenkolb,Team dsm-firmenich PostNL,0,8
Casper Van Uden,Team dsm-firmenich PostNL,39,8
Per Strand Hagenes,Team Visma | Lease a Bike,68,8
Milan Vader,Team Visma | Lease a Bike,61,8
Yannis Voisard,Tudor Pro Cycling Team,150,8
António Morgado,UAE Team Emirates,211,8
Nils Politt,UAE Team Emirates,21,8
Jonas Abrahamsen,Uno-X Mobility,2,8
Andreas Leknessund,Uno-X Mobility,75,8
Óscar Cabedo,ABTF Betão - Feirense,0,6
Afonso Eulálio,ABTF Betão - Feirense,10,6
Xandro Meurisse,Alpecin-Deceuninck,6,6
Edward Planckaert,Alpecin-Deceuninck,11,6
Francisco Campos,APHotels and Resorts - Tavira,0,6
Donavan Grondin,Arkéa - B&B Hotels,0,6
Martin Tjøtta,Arkéa - B&B Hotels,0,6
Gleb Brussenskiy,Astana Qazaqstan Team,0,6
Anton Kuzmin,Astana Qazaqstan Team,0,6
Carlos Iván Oyarzún,Aviludo - Louletano - Loulé Concelho,0,6
German Nicolás Tivani,Aviludo - Louletano - Loulé Concelho,56,6
Alexander Hajek,BORA - hansgrohe,2,6
Marco Haller,BORA - hansgrohe,66,6
Bob Jungels,BORA - hansgrohe,166,6
Daniel Babor,Caja Rural - Seguros RGA,0,6
Eduard Prades,Caja Rural - Seguros RGA,15,6
Gorka Sorarrain,Caja Rural - Seguros RGA,0,6
Luís Fernandes,Credibom / LA Alumínios / Marcos Car,0,6
Gonçalo Leaça,Credibom / LA Alumínios / Marcos Car,0,6
Mikkel Frølich Honoré,EF Education-EasyPost,39,6
James Shaw,EF Education-EasyPost,53,6
Michael Valgren,EF Education-EasyPost,8,6
Henrique Casimiro,Efapel Cycling,0,6
Abner González,Efapel Cycling,0,6
Aleksandr Grigorev,Efapel Cycling,17,6
Keegan Swirbul,Efapel Cycling,0,6
Olivier Le Gac,Groupama - FDJ,10,6
Marc Sarreau,Groupama - FDJ,15,6
Kim Heiduk,INEOS Grenadiers,90,6
Luke Rowe,INEOS Grenadiers,29,6
Laurenz Rex,Intermarché - Wanty,37,6
Luís Gomes,Kelly / Simoldes / UDO,0,6
Daan Hoole,Lidl - Trek,0,6
Sam Oomen,Lidl - Trek,0,6
Mathias Vacek,Lidl - Trek,0,6
César Fonte,Rádio Popular - Paredes - Boavista,18,6
Hélder Gonçalves,Rádio Popular - Paredes - Boavista,20,6
Hugo Nunes,Rádio Popular - Paredes - Boavista,10,6
Andre Carvalho,Sabgal / Anicolor,0,6
Frederico Figueiredo,Sabgal / Anicolor,15,6
Luís Mendonça,Sabgal / Anicolor,50,6
Rafael Reis,Sabgal / Anicolor,10,6
Pieter Serry,Soudal - Quick Step,32,6
Louis Vervaeke,Soudal - Quick Step,32,6
Leangel Rubén Linarez,Tavfer-Ovos Matinados-Mortágua,0,6
César Martingil,Tavfer-Ovos Matinados-Mortágua,10,6
João Matias,Tavfer-Ovos Matinados-Mortágua,0,6
Pavel Bittner,Team dsm-firmenich PostNL,0,6
Gijs Leemreize,Team dsm-firmenich PostNL,83,6
Jan Tratnik,Team Visma | Lease a Bike,531,6
Julian Vermote,Team Visma | Lease a Bike,58,6
Lucas Eriksson,Tudor Pro Cycling Team,2,6
Luc Wirtgen,Tudor Pro Cycling Team,2,6
Filippo Baroncini,UAE Team Emirates,9,6
Jan Christen,UAE Team Emirates,81,6
Rui Oliveira,UAE Team Emirates,255,6
Erik Nordsæter Resell,Uno-X Mobility,0,6
Martin Urianstad,Uno-X Mobility,22,6
Fábio Costa,ABTF Betão - Feirense,10,4
Diogo Oliveira,ABTF Betão - Feirense,0,4
Fábio Oliveira,ABTF Betão - Feirense,0,4
Ivo Pinheiro,ABTF Betão - Feirense,0,4
Pedro Silva,ABTF Betão - Feirense,10,4
Tobias Bayer,Alpecin-Deceuninck,58,4
Luca Vergallito,Alpecin-Deceuninck,75,4
Diogo Barbosa,APHotels and Resorts - Tavira,0,4
Jose Bicho,APHotels and Resorts - Tavira,0,4
Euclides Chingui,APHotels and Resorts - Tavira,0,4
Carlos Miguel Salgueiro,APHotels and Resorts - Tavira,20,4
Afonso Silva,APHotels and Resorts - Tavira,0,4
Rúben Simão,APHotels and Resorts - Tavira,10,4
Max Walker,Astana Qazaqstan Team,29,4
Tomas Contte,Aviludo - Louletano - Loulé Concelho,66,4
David Dominguez,Aviludo - Louletano - Loulé Concelho,0,4
Sergio García González,Aviludo - Louletano - Loulé Concelho,0,4
Tomás Martins,Aviludo - Louletano - Loulé Concelho,0,4
Daniel Viegas,Aviludo - Louletano - Loulé Concelho,0,4
Julen Arriola-Bengoa,Caja Rural - Seguros RGA,0,4
Tomáš Bárta,Caja Rural - Seguros RGA,20,4
Jaume Guardeño,Caja Rural - Seguros RGA,0,4
Michal Schlegel,Caja Rural - Seguros RGA,0,4
Rodrigo Caixas,Credibom / LA Alumínios / Marcos Car,0,4
Emanuel Duarte,Credibom / LA Alumínios / Marcos Car,0,4
Alexandre Montez,Credibom / LA Alumínios / Marcos Car,0,4
Diogo Narciso,Credibom / LA Alumínios / Marcos Car,10,4
François Vie,Credibom / LA Alumínios / Marcos Car,0,4
António Ferreira,Efapel Cycling,10,4
Santiago Mesa,Efapel Cycling,63,4
Joaquim Silva,Efapel Cycling,0,4
Enzo Paleni,Groupama - FDJ,0,4
Clément Russo,Groupama - FDJ,35,4
Adrien Petit,Intermarché - Wanty,14,4
Noah Campos,Kelly / Simoldes / UDO,10,4
Rui Carvalho,Kelly / Simoldes / UDO,0,4
Tiago Ferreira,Kelly / Simoldes / UDO,0,4
Francisco Guerreiro,Kelly / Simoldes / UDO,0,4
Duarte Mixão,Kelly / Simoldes / UDO,0,4
André Ribeiro,Kelly / Simoldes / UDO,0,4
Tiago Leal,Rádio Popular - Paredes - Boavista,0,4
João Martins,Rádio Popular - Paredes - Boavista,0,4
Francisco Juel Peñuela,Rádio Popular - Paredes - Boavista,0,4
Raúl Rota,Rádio Popular - Paredes - Boavista,10,4
Gabriel Baptista,Sabgal / Anicolor,0,4
Duarte Domingues,Sabgal / Anicolor,0,4
Oliver Rees,Sabgal / Anicolor,10,4
Warre Vangheluwe,Soudal - Quick Step,32,4
Gonçalo Amado,Tavfer-Ovos Matinados-Mortágua,26,4
Gonçalo Carvalho,Tavfer-Ovos Matinados-Mortágua,0,4
Francisco Morais,Tavfer-Ovos Matinados-Mortágua,10,4
Bruno Silva,Tavfer-Ovos Matinados-Mortágua,0,4
Niklas Märkl,Team dsm-firmenich PostNL,0,4
Martijn Tusveld,Team dsm-firmenich PostNL,0,4
Bram Welten,Team dsm-firmenich PostNL,0,4
Robin Froidevaux,Tudor Pro Cycling Team,12,4
Arthur Kluckers,Tudor Pro Cycling Team,12,4
Markus Hoelgaard,Uno-X Mobility,10,4