Tadej Pogačar,UAE Team Emirates - XRG,1313,28
Jonas Vingegaard,Team Visma | Lease a Bike,1146,22
Remco Evenepoel,Soudal Quick-Step,825,20
Matteo Jorgenson,Team Visma | Lease a Bike,608,18
Carlos Rodríguez,INEOS Grenadiers,231,16
Enric Mas,Movistar Team,352,14
Maxim Van Gils,Red Bull - BORA - hansgrohe,41,14
Lenny Martinez,Bahrain - Victorious,251,12
Jonathan Milan,Lidl - Trek,292,12
Mathieu Van Der Poel,Alpecin - Deceuninck,650,10
Santiago Buitrago,Bahrain - Victorious,60,10
Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,41,10
Alex Baudin,EF Education - EasyPost,111,10
Ben Healy,EF Education - EasyPost,60,10
Magnus Sheffield,INEOS Grenadiers,18,10
Finn Fisher-Black,Red Bull - BORA - hansgrohe,34,10
Florian Lipowitz,Red Bull - BORA - hansgrohe,811,10
Maximilian Schachmann,Soudal Quick-Step,6,10
Romain Bardet,Team Picnic PostNL,78,10
Max Poole,Team Picnic PostNL,0,10
Sepp Kuss,Team Visma | Lease a Bike,262,10
Ben Tulett,Team Visma | Lease a Bike,347,10
Jhonatan Narváez,UAE Team Emirates - XRG,59,10
Pavel Sivakov,UAE Team Emirates - XRG,72,10
Marc Soler,UAE Team Emirates - XRG,57,10
Simone Velasco,XDS Astana Team,47,10
Clément Venturini,Arkéa - B&B Hotels,136,8
Emanuel Buchmann,Cofidis,199,8
Dylan Teuns,Cofidis,0,8
Benjamin Thomas,Cofidis,63,8
Clément Berthet,Decathlon AG2R La Mondiale Team,64,8
Paul Seixas,Decathlon AG2R La Mondiale Team,316,8
Esteban Chaves,EF Education - EasyPost,51,8
Lukas Nerurkar,EF Education - EasyPost,5,8
Archie Ryan,EF Education - EasyPost,0,8
Guillaume Martin,Groupama - FDJ,179,8
Paul Penhoët,Groupama - FDJ,115,8
Clément Russo,Groupama - FDJ,0,8
Tobias Foss,INEOS Grenadiers,59,8
Axel Laurance,INEOS Grenadiers,235,8
Óscar Rodríguez,INEOS Grenadiers,8,8
Samuel Watson,INEOS Grenadiers,18,8
Hugo Page,Intermarché - Wanty,123,8
Pascal Ackermann,Israel - Premier Tech,6,8
Alexey Lutsenko,Israel - Premier Tech,132,8
Ruben Guerreiro,Movistar Team,20,8
Iván Romeo,Movistar Team,258,8
Laurence Pithie,Red Bull - BORA - hansgrohe,171,8
Valentin Paret-Peintre,Soudal Quick-Step,16,8
Eddie Dunbar,Team Jayco AlUla,226,8
Emilien Jeannière,Team TotalEnergies,218,8
Jordan Jegat,Team TotalEnergies,110,8
Pierre Latour,Team TotalEnergies,2,8
Per Strand Hagenes,Team Visma | Lease a Bike,98,8
Attila Valter,Team Visma | Lease a Bike,98,8
Tim Wellens,UAE Team Emirates - XRG,58,8
Magnus Cort,Uno-X Mobility,2,8
Tobias Halland Johannessen,Uno-X Mobility,406,8
Sergio Higuita,XDS Astana Team,128,8
Harold Tejada,XDS Astana Team,170,8
Tobias Bayer,Alpecin - Deceuninck,8,6
Lars Boven,Alpecin - Deceuninck,8,6
Michael Gogl,Alpecin - Deceuninck,8,6
Xandro Meurisse,Alpecin - Deceuninck,8,6
Johan Price-Pejtersen,Alpecin - Deceuninck,8,6
Gianni Vermeersch,Alpecin - Deceuninck,8,6
Anthony Delaplace,Arkéa - B&B Hotels,0,6
Thibault Guernalec,Arkéa - B&B Hotels,32,6
Victor Guernalec,Arkéa - B&B Hotels,18,6
Michel Ries,Arkéa - B&B Hotels,0,6
Jack Haig,Bahrain - Victorious,41,6
Robert Stannard,Bahrain - Victorious,33,6
Torstein Træen,Bahrain - Victorious,73,6
Fred Wright,Bahrain - Victorious,278,6
Bruno Armirail,Decathlon AG2R La Mondiale Team,236,6
Jordan Labrosse,Decathlon AG2R La Mondiale Team,47,6
Oliver Naesen,Decathlon AG2R La Mondiale Team,34,6
Bastien Tronchon,Decathlon AG2R La Mondiale Team,266,6
Alastair Mackellar,EF Education - EasyPost,0,6
Michael Valgren,EF Education - EasyPost,0,6
Clément Braz Afonso,Groupama - FDJ,45,6
Rémi Cavagna,Groupama - FDJ,72,6
Rudy Molard,Groupama - FDJ,0,6
Brieuc Rolland,Groupama - FDJ,84,6
Michael Leonard,INEOS Grenadiers,38,6
Louis Barré,Intermarché - Wanty,275,6
Kamiel Bonneu,Intermarché - Wanty,8,6
Louis Meintjes,Intermarché - Wanty,98,6
Dion Smith,Intermarché - Wanty,8,6
Matis Louvel,Israel - Premier Tech,56,6
Krists Neilands,Israel - Premier Tech,16,6
Jake Stewart,Israel - Premier Tech,256,6
Julien Bernard,Lidl - Trek,72,6
Simone Consonni,Lidl - Trek,12,6
Amanuel Ghebreigzabhier,Lidl - Trek,12,6
Toms Skujiņš,Lidl - Trek,12,6
Jasper Stuyven,Lidl - Trek,12,6
Edward Theuns,Lidl - Trek,12,6
Michel Hessmann,Movistar Team,20,6
Gregor Mühlberger,Movistar Team,106,6
Alexander Hajek,Red Bull - BORA - hansgrohe,26,6
Mick Van Dijke,Red Bull - BORA - hansgrohe,26,6
Ben Zwiehoff,Red Bull - BORA - hansgrohe,26,6
Pascal Eenkhoorn,Soudal Quick-Step,6,6
Casper Pedersen,Soudal Quick-Step,6,6
Louis Vervaeke,Soudal Quick-Step,6,6
Koen Bouwman,Team Jayco AlUla,0,6
Alessandro De Marchi,Team Jayco AlUla,0,6
Anders Foldager,Team Jayco AlUla,60,6
Asbjørn Hellemose,Team Jayco AlUla,0,6
Chris Hamilton,Team Picnic PostNL,0,6
Guillermo Juan Martinez,Team Picnic PostNL,47,6
Mathieu Burgaudeau,Team TotalEnergies,2,6
Anthony Turgis,Team TotalEnergies,53,6
Mattéo Vercher,Team TotalEnergies,2,6
Victor Campenaerts,Team Visma | Lease a Bike,98,6
Mathys Rondel,Tudor Pro Cycling Team,91,6
Matteo Trentin,Tudor Pro Cycling Team,35,6
Domen Novak,UAE Team Emirates - XRG,52,6
Nils Politt,UAE Team Emirates - XRG,90,6
Stian Fredheim,Uno-X Mobility,124,6
Markus Hoelgaard,Uno-X Mobility,2,6
Andreas Kron,Uno-X Mobility,2,6
Andreas Leknessund,Uno-X Mobility,103,6
Søren Wærenskjold,Uno-X Mobility,100,6
Yevgeniy Fedorov,XDS Astana Team,72,6
Henok Mulubrhan,XDS Astana Team,27,6
Darren Van Bekkum,XDS Astana Team,12,6
Nicolas Vinokurov,XDS Astana Team,12,6
Louis Rouland,Arkéa - B&B Hotels,0,4
Pierre Thierry,Arkéa - B&B Hotels,49,4
Kamil Gradek,Bahrain - Victorious,6,4
Oliver Knight,Cofidis,0,4
Paul Ourselin,Cofidis,89,4
Ludovic Robeet,Cofidis,0,4
Hugo Toumire,Cofidis,0,4
Dries De Pooter,Intermarché - Wanty,8,4
Tom Paquot,Intermarché - Wanty,8,4
Guillaume Boivin,Israel - Premier Tech,6,4
Nadav Raisberg,Israel - Premier Tech,26,4
Jorge Arcas,Movistar Team,20,4
Antonio Pedrero,Movistar Team,20,4
Pepijn Reinderink,Soudal Quick-Step,6,4
Michael Hepburn,Team Jayco AlUla,0,4
Christopher Juul-Jensen,Team Jayco AlUla,8,4
Romain Combaud,Team Picnic PostNL,0,4
Bjoern Koerdt,Team Picnic PostNL,2,4
Enzo Leijnse,Team Picnic PostNL,15,4
Fabien Doubey,Team TotalEnergies,2,4
Jacob Eriksson,Tudor Pro Cycling Team,0,4
Lucas Eriksson,Tudor Pro Cycling Team,0,4
Roland Thalmann,Tudor Pro Cycling Team,0,4
Fabian Weiss,Tudor Pro Cycling Team,0,4
Hannes Wilksch,Tudor Pro Cycling Team,0,4