Simon Yates,Team Jayco AlUla,232,26
Julian Alaphilippe,Soudal - Quick Step,391,22
Luke Plapp,Team Jayco AlUla,0,18
Caleb Ewan,Team Jayco AlUla,320,16
Diego Ulissi,UAE Team Emirates,110,16
Phil Bauhaus,Bahrain - Victorious,204,14
Sam Welsford,BORA - hansgrohe,591,14
Filippo Ganna,INEOS Grenadiers,16,14
Ruben Guerreiro,Movistar Team,168,14
Jack Haig,Bahrain - Victorious,148,12
Danny Van Poppel,BORA - hansgrohe,173,12
Jhonatan Narváez,INEOS Grenadiers,719,12
Biniam Girmay,Intermarché - Wanty,552,12
Corbin Strong,Israel - Premier Tech,282,12
Stephen Williams,Israel - Premier Tech,854,12
Bauke Mollema,Lidl - Trek,122,12
Oscar Onley,Team dsm-firmenich PostNL,364,12
Chris Harper,Team Jayco AlUla,72,12
Milan Vader,Team Visma | Lease a Bike,28,12
Finn Fisher-Black,UAE Team Emirates,156,12
Samuele Battistella,Astana Qazaqstan Team,14,10
Max Kanter,Astana Qazaqstan Team,320,10
Michael Storer,Australia,51,10
Ben Zwiehoff,BORA - hansgrohe,137,10
Laurence Pithie,Groupama - FDJ,371,10
Elia Viviani,INEOS Grenadiers,132,10
Dion Smith,Intermarché - Wanty,38,10
George Bennett,Israel - Premier Tech,64,10
Nick Schultz,Israel - Premier Tech,192,10
Quinn Simmons,Lidl - Trek,0,10
Iván García Cortina,Movistar Team,44,10
Casper Pedersen,Soudal - Quick Step,29,10
Koen Bouwman,Team Visma | Lease a Bike,5,10
Alessandro Covi,UAE Team Emirates,57,10
Stan Van Tricht,Alpecin-Deceuninck,2,8
Louis Barré,Arkéa - B&B Hotels,110,8
Daniel McLay,Arkéa - B&B Hotels,101,8
Christian Scaroni,Astana Qazaqstan Team,54,8
Damien Howson,Austalia,240,8
Torstein Træen,Bahrain - Victorious,8,8
Roger Adrià,BORA - hansgrohe,101,8
Clément Berthet,Decathlon AG2R La Mondiale Team,60,8
Rudy Molard,Groupama - FDJ,0,8
Joshua Tarling,INEOS Grenadiers,16,8
Madis Mihkels,Intermarché - Wanty,107,8
Georg Zimmermann,Intermarché - Wanty,233,8
Simon Clarke,Israel - Premier Tech,94,8
Derek Gee,Israel - Premier Tech,64,8
Mathias Vacek,Lidl - Trek,58,8
Gonzalo Serrano,Movistar Team,98,8
James Knox,Soudal - Quick Step,16,8
Patrick Bevin,Team dsm-firmenich PostNL,10,8
Chris Hamilton,Team dsm-firmenich PostNL,35,8
Emīls Liepiņš,Team dsm-firmenich PostNL,40,8
Campbell Stewart,Team Jayco AlUla,2,8
Johannes Staune-Mittet,Team Visma | Lease a Bike,5,8
Isaac Del Toro,UAE Team Emirates,654,8
Álvaro José Hodeg,UAE Team Emirates,146,8
António Morgado,UAE Team Emirates,102,8
Lars Boven,Alpecin-Deceuninck,269,6
Jason Osborne,Alpecin-Deceuninck,2,6
Anthony Delaplace,Arkéa - B&B Hotels,2,6
Laurens Huys,Arkéa - B&B Hotels,2,6
Kévin Ledanois,Arkéa - B&B Hotels,2,6
Miles Scotson,Arkéa - B&B Hotels,2,6
Michele Gazzoli,Astana Qazaqstan Team,0,6
Dmitriy Gruzdev,Astana Qazaqstan Team,0,6
Rüdiger Selig,Astana Qazaqstan Team,0,6
Declan Trezise,Australia,0,6
Liam Walsh,Australia,26,6
Patrick Gamper,BORA - hansgrohe,28,6
Piet Allegaert,Cofidis,12,6
Rubén Fernández,Cofidis,17,6
Eddy Finé,Cofidis,8,6
Milan Fretin,Cofidis,120,6
Simon Geschke,Cofidis,14,6
Axel Mariault,Cofidis,122,6
Franck Bonnamour,Decathlon AG2R La Mondiale Team,89,6
Paul Lapeira,Decathlon AG2R La Mondiale Team,48,6
Valentin Paret-Peintre,Decathlon AG2R La Mondiale Team,299,6
Nans Peters,Decathlon AG2R La Mondiale Team,48,6
Stefan De Bod,EF Education-EasyPost,71,6
Owain Doull,EF Education-EasyPost,0,6
Jonas Rutsch,EF Education-EasyPost,0,6
Harry Sweeny,EF Education-EasyPost,0,6
Laurens De Plus,INEOS Grenadiers,16,6
Leo Hayter,INEOS Grenadiers,16,6
Ben Swift,INEOS Grenadiers,16,6
Lilian Calmejane,Intermarché - Wanty,68,6
Simone Petilli,Intermarché - Wanty,38,6
Guillaume Boivin,Israel - Premier Tech,64,6
Juan Pedro López,Lidl - Trek,75,6
Jacopo Mosca,Lidl - Trek,45,6
Natnael Tesfatsion,Lidl - Trek,25,6
Jon Barrenetxea,Movistar Team,6,6
Josef Černý,Soudal - Quick Step,14,6
Pieter Serry,Soudal - Quick Step,14,6
Pavel Bittner,Team dsm-firmenich PostNL,35,6
Sean Flynn,Team dsm-firmenich PostNL,10,6
Michael Hepburn,Team Jayco AlUla,5,6
Kelland O'Brien,Team Jayco AlUla,2,6
Robert Gesink,Team Visma | Lease a Bike,5,6
Bart Lemmen,Team Visma | Lease a Bike,358,6
Mick Van Dijke,Team Visma | Lease a Bike,5,6
Michael Vink,UAE Team Emirates,51,6
Maurice Ballerstedt,Alpecin-Deceuninck,34,4
Tobias Bayer,Alpecin-Deceuninck,3,4
Juri Hollmann,Alpecin-Deceuninck,2,4
Luca Vergallito,Alpecin-Deceuninck,76,4
Michel Ries,Arkéa - B&B Hotels,2,4
Gianmarco Garofoli,Astana Qazaqstan Team,0,4
Luke Burns,Australia,168,4
Jackson Medway,Australia,25,4
Tristan Saunders,Australia,47,4
Nicolò Buratti,Bahrain - Victorious,8,4
Fran Miholjević,Bahrain - Victorious,8,4
Johan Price-Pejtersen,Bahrain - Victorious,8,4
Cameron Scott,Bahrain - Victorious,8,4
Filip Maciejuk,BORA - hansgrohe,29,4
Ryan Mullen,BORA - hansgrohe,28,4
Oliver Knight,Cofidis,2,4
Jaakko Hänninen,Decathlon AG2R La Mondiale Team,48,4
Bastien Tronchon,Decathlon AG2R La Mondiale Team,120,4
Jack Rootkin-Gray,EF Education-EasyPost,0,4
Archie Ryan,EF Education-EasyPost,5,4
Jardi Christiaan Van Der Lee,EF Education-EasyPost,132,4
Clément Davy,Groupama - FDJ,0,4
Fabian Lienhard,Groupama - FDJ,0,4
Enzo Paleni,Groupama - FDJ,0,4
Reuben Thompson,Groupama - FDJ,0,4
Tom Paquot,Intermarché - Wanty,38,4
Dario Cataldo,Lidl - Trek,0,4
Johan Jacobs,Movistar Team,31,4
Manlio Moro,Movistar Team,6,4
Vinicius Rangel,Movistar Team,33,4
Gil Gelders,Soudal - Quick Step,93,4
Antoine Huby,Soudal - Quick Step,113,4
Patrick Eddy,Team dsm-firmenich PostNL,20,4
Loe Van Belle,Team Visma | Lease a Bike,5,4