Remco Evenepoel,Soudal - Quick Step,267,22
Sergio Higuita,BORA - hansgrohe,412,18
Daniel Felipe Martínez,INEOS Grenadiers,97,16
Fabio Jakobsen,Soudal - Quick Step,422,16
Miguel Ángel López,Team Medellin - EPM,608,16
Egan Bernal,INEOS Grenadiers,188,14
Fernando Gaviria,Movistar Team,588,14
Sam Bennett,BORA - hansgrohe,564,12
Filippo Ganna,INEOS Grenadiers,623,12
Giacomo Nizzolo,Israel - Premier Tech,414,12
Einer Augusto Rubio,Movistar Team,350,12
Óscar Sevilla,Team Medellin - EPM,141,12
Peter Sagan,TotalEnergies,484,12
Danny Van Poppel,BORA - hansgrohe,328,10
Jhonatan Narváez,INEOS Grenadiers,69,10
Elia Viviani,INEOS Grenadiers,270,10
Jan Hirt,Soudal - Quick Step,36,10
Quinn Simmons,Trek - Segafredo,374,10
Delio Fernández,APHotels and Resorts - Tavira,0,8
Harold Tejada,Astana Qazaqstan Team,91,8
Jonas Koch,BORA - hansgrohe,54,8
Emiliano Contreras,Chimbas Te Quiero,55,8
Oier Lazkano,Movistar Team,184,8
Franklin Archibold,Panamá es Cultura y Valores,0,8
Juan Pablo Dotti,Sindicato de Empleados Públicos of San Juan,253,8
Yves Lampaert,Soudal - Quick Step,252,8
Steven Haro,Team Banco Guayaquil - Ecuador,0,8
Cristhian Montoya,Team Banco Guayaquil - Ecuador,0,8
German Nicolás Tivani,Team Corratec,381,8
Marco Brenner,Team DSM,37,8
Kevin Vermaerke,Team DSM,244,8
Sam Welsford,Team DSM,357,8
Fabio Duarte,Team Medellin - EPM,45,8
Steff Cras,TotalEnergies,127,8
Jon Aberasturi,Trek - Segafredo,178,8
Antwan Tolhoek,Trek - Segafredo,28,8
Mathias Vacek,Trek - Segafredo,75,8
Angel Gil,Agrupación Virgen de Fatima - San Juan Biker Motos,0,6
Gerardo Matias Tivani,Agrupación Virgen de Fatima - San Juan Biker Motos,102,6
Venceslau Fernandes,APHotels and Resorts - Tavira,0,6
Tomas Contte,Argentina,66,6
Lukas Dundic,Argentina,14,6
Marcos Mendez,Argentina,67,6
Maximiliano Richeze,Argentina,130,6
Yevgeniy Gidich,Astana Qazaqstan Team,90,6
Harold Martín López,Astana Qazaqstan Team,10,6
Yuriy Natarov,Astana Qazaqstan Team,15,6
Gleb Syritsa,Astana Qazaqstan Team,187,6
Andrey Zeits,Astana Qazaqstan Team,0,6
Ryan Mullen,BORA - hansgrohe,64,6
Jose Luis Rodriguez,Chile,30,6
Vicente Rojas,Chile,89,6
Leandro Carlos Messineo,Chimbas Te Quiero,167,6
Davide Bais,EOLO-Kometa,21,6
Erik Fetter,EOLO-Kometa,1,6
Mauricio Paez,Gremios por el Deporte – Cutral Co,0,6
Laureano Rosas,Gremios por el Deporte – Cutral Co,93,6
Brandon Smith Rivera,INEOS Grenadiers,415,6
Jens Reynders,Israel - Premier Tech,16,6
Stephen Williams,Israel - Premier Tech,4,6
Rick Zabel,Israel - Premier Tech,13,6
Davide Boscaro,Italy,0,6
Manlio Moro,Italy,0,6
Abner González,Movistar Team,132,6
Ricardo Escuela,Municipalidad de Pocito,0,6
Kevin Castro,Municipalidad de Rawson,0,6
Bolivar Espinoza,Panamá es Cultura y Valores,10,6
Christofer Jurado,Panamá es Cultura y Valores,124,6
Bredio Ruiz,Panamá es Cultura y Valores,20,6
Leonardo Cobarrubia,Sindicato de Empleados Públicos of San Juan,34,6
César Nicolás Paredes,Sindicato de Empleados Públicos of San Juan,236,6
Michael Mørkøv,Soudal - Quick Step,188,6
Carlos Gutierrez,Team Banco Guayaquil - Ecuador,0,6
Benjamin Quinteros,Team Banco Guayaquil - Ecuador,0,6
Stefano Gandin,Team Corratec,39,6
Veljko Stojnić,Team Corratec,0,6
Victor Ocampo,Team Medellin - EPM,55,6
Brayan Sánchez,Team Medellin - EPM,97,6
Maciej Bodnar,TotalEnergies,18,6
Alan Jousseaume,TotalEnergies,48,6
Daniel Oss,TotalEnergies,94,6
Dario Cataldo,Trek - Segafredo,8,6
Roderick Asconeguy,Uruguay,0,6
Franco Buchanan,Agrupación Virgen de Fatima - San Juan Biker Motos,10,4
Mauricio Dominguez,Agrupación Virgen de Fatima - San Juan Biker Motos,10,4
Daniel Omar Juarez,Agrupación Virgen de Fatima - San Juan Biker Motos,44,4
Wladimir Estefano Martínez,Agrupación Virgen de Fatima - San Juan Biker Motos,10,4
Rafael Lourenço,APHotels and Resorts - Tavira,20,4
Carlos Salgueiro,APHotels and Resorts - Tavira,14,4
Rúben Simão,APHotels and Resorts - Tavira,0,4
Alvaro Trueba,APHotels and Resorts - Tavira,0,4
Franco German Lopez,Argentina,4,4
Jean Ignacio Rodriguez Castillo,Argentina,4,4
Florian Lipowitz,BORA - hansgrohe,54,4
Nicolas Cabrera,Chile,0,4
Francisco Kotsakis,Chile,0,4
Manuel Lira,Chile,0,4
Hector Quintana,Chile,0,4
Dario Alvarez,Chimbas Te Quiero,15,4
Alejandro Durán,Chimbas Te Quiero,0,4
Pedro Gonzalez,Chimbas Te Quiero,0,4
Mauro Abel Richeze,Chimbas Te Quiero,12,4
Simone Bevilacqua,EOLO-Kometa,0,4
Giovanni Lonardi,EOLO-Kometa,60,4
Simone Raccani,EOLO-Kometa,0,4
Diego Pablo Sevilla,EOLO-Kometa,20,4
Iker Bonillo,Green Project-Bardiani CSF-Faizanè,18,4
Filippo Magli,Green Project-Bardiani CSF-Faizanè,95,4
Mattia Petrucci,Green Project-Bardiani CSF-Faizanè,7,4
Alessandro Santaromita,Green Project-Bardiani CSF-Faizanè,33,4
Manuele Tarozzi,Green Project-Bardiani CSF-Faizanè,160,4
Enrico Zanoncello,Green Project-Bardiani CSF-Faizanè,180,4
Emiliano Ibarra,Gremios por el Deporte – Cutral Co,12,4
Maximiliano Ezequiel Navarrete,Gremios por el Deporte – Cutral Co,0,4
Alejandro Quilci,Gremios por el Deporte – Cutral Co,10,4
Nicolas Traico,Gremios por el Deporte – Cutral Co,0,4
Marco Frigo,Israel - Premier Tech,66,4
Matthew Riccitello,Israel - Premier Tech,176,4
Liam Bertazzo,Italy,0,4
Francesco Lamon,Italy,0,4
Mattia Pinazzi,Italy,30,4
Michele Scartezzini,Italy,0,4
Vinicius Rangel Costa,Movistar Team,56,4
Albert Torres,Movistar Team,68,4
Federico Lopez,Municipalidad de Pocito,0,4
Juan Javier Melivilo,Municipalidad de Pocito,0,4
Rubén Ramos,Municipalidad de Pocito,0,4
José Martin Reyes,Municipalidad de Pocito,10,4
Leandro Velardez,Municipalidad de Pocito,15,4
Sergio Aguirre,Municipalidad de Rawson,0,4
Rodrigo Daniel Díaz,Municipalidad de Rawson,0,4
Pedro Gordillo,Municipalidad de Rawson,10,4
Marcelo Nahuel Mendez,Municipalidad de Rawson,32,4
Daniel Agustin Videla,Municipalidad de Rawson,0,4
Yelko Gómez,Panamá es Cultura y Valores,0,4
Alex Antonio Strah,Panamá es Cultura y Valores,0,4
Mateo Kalejmann,Sindicato de Empleados Públicos of San Juan,2,4
Hugo Ruiz Calle,Sindicato de Empleados Públicos of San Juan,2,4
Maximiliano Snihur,Sindicato de Empleados Públicos of San Juan,2,4
Pieter Serry,Soudal - Quick Step,36,4
Cristian David Pita,Team Banco Guayaquil - Ecuador,15,4
Nixon Rosero,Team Banco Guayaquil - Ecuador,0,4
Alexander Konychev,Team Corratec,1,4
Charlie Quarterman,Team Corratec,0,4
Attilio Viviani,Team Corratec,219,4
Tobias Lund Andresen,Team DSM,166,4
Jonas Iversby Hvideberg,Team DSM,26,4
Niklas Märkl,Team DSM,152,4
Javier Ernesto Jamaica,Team Medellin - EPM,45,4
Fabien Grellier,TotalEnergies,18,4
Juan Caorsi,Uruguay,0,4
Eric Antonio Fagundez,Uruguay,0,4
Nahuel Hernandez,Uruguay,0,4
Fernando Mendez,Uruguay,0,4
Nahuel Soarez de Lima,Uruguay,0,4