Aleksandr Vlasov,BORA - hansgrohe,285,22
Remco Evenepoel,Quick-Step Alpha Vinyl Team,368,22
Daniel Felipe Martínez,INEOS Grenadiers,293,20
Adam Yates,INEOS Grenadiers,79,18
Sergio Higuita,BORA - hansgrohe,700,16
Thibaut Pinot,Groupama - FDJ,419,16
Gino Mäder,Bahrain - Victorious,30,14
Ion Izagirre,Cofidis,56,14
Hugh Carthy,EF Education-EasyPost,9,14
Geraint Thomas,INEOS Grenadiers,890,14
Maximilian Schachmann,BORA - hansgrohe,542,12
Rigoberto Urán,EF Education-EasyPost,31,12
Sepp Kuss,Jumbo-Visma,95,12
Marc Hirschi,UAE Team Emirates,166,12
Benoît Cosnefroy,AG2R Citroën Team,25,10
Alexey Lutsenko,Astana Qazaqstan Team,287,10
Felix Großschartner,BORA - hansgrohe,521,10
Thomas Pidcock,INEOS Grenadiers,193,10
Domenico Pozzovivo,Intermarché - Wanty - Gobert Matériaux,297,10
Jakob Fuglsang,Israel - Premier Tech,563,10
Rohan Dennis,Jumbo-Visma,0,10
Fausto Masnada,Quick-Step Alpha Vinyl Team,251,10
Michael Matthews,Team BikeExchange - Jayco,488,10
Thymen Arensman,Team DSM,10,10
Marc Soler,UAE Team Emirates,0,10
Diego Ulissi,UAE Team Emirates,100,10
Clément Champoussin,AG2R Citroën Team,226,8
Jay Vine,Alpecin-Fenix,10,8
Neilson Powless,EF Education-EasyPost,449,8
Sébastien Reichenbach,Groupama - FDJ,265,8
Sam Oomen,Jumbo-Visma,2,8
Andreas Kron,Lotto Soudal,342,8
Alex Aranburu,Movistar Team,169,8
Gonzalo Serrano,Movistar Team,0,8
James Knox,Quick-Step Alpha Vinyl Team,13,8
Dion Smith,Team BikeExchange - Jayco,6,8
Nikias Arndt,Team DSM,91,8
Cees Bol,Team DSM,68,8
Søren Kragh Andersen,Team DSM,108,8
Andreas Leknessund,Team DSM,516,8
Peter Sagan,TotalEnergies,155,8
Gianluca Brambilla,Trek - Segafredo,50,8
Quinn Simmons,Trek - Segafredo,420,8
Rui Costa,UAE Team Emirates,0,8
Alessandro Covi,UAE Team Emirates,0,8
Matteo Trentin,UAE Team Emirates,150,8
Bob Jungels,AG2R Citroën Team,319,6
Nicolas Prodhomme,AG2R Citroën Team,105,6
Larry Warbasse,AG2R Citroën Team,8,6
Michael Gogl,Alpecin-Fenix,20,6
Xandro Meurisse,Alpecin-Fenix,0,6
Stefano Oldani,Alpecin-Fenix,30,6
Manuele Boaro,Astana Qazaqstan Team,11,6
Gianni Moscon,Astana Qazaqstan Team,5,6
Hermann Pernsteiner,Bahrain - Victorious,30,6
Stephen Williams,Bahrain - Victorious,274,6
Edoardo Zambanini,Bahrain - Victorious,80,6
Bryan Coquard,Cofidis,122,6
José Herrada,Cofidis,156,6
Rémy Rochas,Cofidis,21,6
Davide Villella,Cofidis,4,6
Alberto Bettiol,EF Education-EasyPost,247,6
Stefan Bissegger,EF Education-EasyPost,20,6
Matteo Badilatti,Groupama - FDJ,56,6
Stefan Küng,Groupama - FDJ,628,6
Quentin Pacher,Groupama - FDJ,90,6
Kristian Aasvold,Human Powered Health,0,6
Omar Fraile,INEOS Grenadiers,28,6
Dylan Van Baarle,INEOS Grenadiers,73,6
Alexander Kristoff,Intermarché - Wanty - Gobert Matériaux,100,6
Andrea Pasqualon,Intermarché - Wanty - Gobert Matériaux,114,6
Simone Petilli,Intermarché - Wanty - Gobert Matériaux,2,6
Baptiste Planckaert,Intermarché - Wanty - Gobert Matériaux,2,6
Georg Zimmermann,Intermarché - Wanty - Gobert Matériaux,2,6
Sebastian Berwick,Israel - Premier Tech,12,6
Patrick Bevin,Israel - Premier Tech,20,6
Hugo Houle,Israel - Premier Tech,147,6
Daryl Impey,Israel - Premier Tech,172,6
Pascal Eenkhoorn,Jumbo-Visma,20,6
Robert Gesink,Jumbo-Visma,0,6
Mike Teunissen,Jumbo-Visma,40,6
Thomas De Gendt,Lotto Soudal,14,6
Philippe Gilbert,Lotto Soudal,61,6
Matthew Holmes,Lotto Soudal,81,6
Sylvain Moniquet,Lotto Soudal,31,6
Brent Van Moer,Lotto Soudal,24,6
Nelson Oliveira,Movistar Team,53,6
Antonio Pedrero,Movistar Team,75,6
Óscar Rodríguez,Movistar Team,182,6
Albert Torres,Movistar Team,4,6
Kasper Asgreen,Quick-Step Alpha Vinyl Team,22,6
Tim Declercq,Quick-Step Alpha Vinyl Team,13,6
Ilan Van Wilder,Quick-Step Alpha Vinyl Team,130,6
Louis Vervaeke,Quick-Step Alpha Vinyl Team,8,6
Jack Bauer,Team BikeExchange - Jayco,6,6
Damien Howson,Team BikeExchange - Jayco,6,6
Jan Maas,Team BikeExchange - Jayco,2,6
Casper Pedersen,Team DSM,25,6
Yannis Voisard,Team Switzerland,0,6
Maciej Bodnar,TotalEnergies,6,6
Mathieu Burgaudeau,TotalEnergies,161,6
Lorrenzo Manzin,TotalEnergies,6,6
Anthony Turgis,TotalEnergies,16,6
Dario Cataldo,Trek - Segafredo,0,6
Markus Hoelgaard,Trek - Segafredo,17,6
Alexander Kamp,Trek - Segafredo,23,6
Simon Pellaud,Trek - Segafredo,0,6
Clément Berthet,AG2R Citroën Team,148,4
Michael Schär,AG2R Citroën Team,35,4
Sjoerd Bax,Alpecin-Fenix,0,4
Silvan Dillier,Alpecin-Fenix,31,4
Jimmy Janssens,Alpecin-Fenix,17,4
Leonardo Basso,Astana Qazaqstan Team,10,4
Yevgeniy Fedorov,Astana Qazaqstan Team,0,4
Dmitriy Gruzdev,Astana Qazaqstan Team,2,4
Antonio Nibali,Astana Qazaqstan Team,2,4
Yukiya Arashiro,Bahrain - Victorious,30,4
Filip Maciejuk,Bahrain - Victorious,30,4
Johan Price-Pejtersen,Bahrain - Victorious,24,4
Marco Haller,BORA - hansgrohe,62,4
Anton Palzer,BORA - hansgrohe,54,4
Frederik Wandahl,BORA - hansgrohe,30,4
Sander Armée,Cofidis,6,4
Tom Bohli,Cofidis,6,4
Jonas Rutsch,EF Education-EasyPost,24,4
Tom Scully,EF Education-EasyPost,8,4
Lewis Askey,Groupama - FDJ,74,4
Antoine Duchesne,Groupama - FDJ,46,4
Chad Haga,Human Powered Health,36,4
Gavin Mannion,Human Powered Health,10,4
Kyle Murphy,Human Powered Health,0,4
Joey Rosskopf,Human Powered Health,10,4
Keegan Swirbul,Human Powered Health,0,4
Luke Rowe,INEOS Grenadiers,30,4
Adrien Petit,Intermarché - Wanty - Gobert Matériaux,2,4
Reto Hollenstein,Israel - Premier Tech,12,4
Krists Neilands,Israel - Premier Tech,20,4
Timo Roosen,Jumbo-Visma,0,4
Kamil Małecki,Lotto Soudal,10,4
Johan Jacobs,Movistar Team,32,4
Cameron Meyer,Team BikeExchange - Jayco,6,4
Nico Denz,Team DSM,251,4
Robin Froidevaux,Team Switzerland,0,4
Claudio Imhof,Team Switzerland,20,4
Mathias Reutimann,Team Switzerland,25,4
Lukas Rüegg,Team Switzerland,10,4
Roland Thalmann,Team Switzerland,113,4
Simon Vitzthum,Team Switzerland,40,4
Daniel Oss,TotalEnergies,46,4
Paul Ourselin,TotalEnergies,6,4
Otto Vergaerde,Trek - Segafredo,0,4
Joel Suter,UAE Team Emirates,12,4