Aleksandr Vlasov,BORA - hansgrohe,525,24
Carlos Rodríguez,INEOS Grenadiers,286,22
Pello Bilbao,Bahrain - Victorious,637,20
Thymen Arensman,INEOS Grenadiers,184,20
Mikel Landa,Bahrain - Victorious,414,18
Damiano Caruso,Bahrain - Victorious,42,16
Brandon McNulty,UAE Team Emirates,372,16
Lennard Kämna,BORA - hansgrohe,82,14
Tao Geoghegan Hart,INEOS Grenadiers,535,14
Gino Mäder,Bahrain - Victorious,47,12
Matej Mohorič,Bahrain - Victorious,81,12
Biniam Girmay,Intermarché - Circus - Wanty,192,12
Alex Aranburu,Movistar Team,521,12
Giulio Ciccone,Trek - Segafredo,855,12
Marc Soler,UAE Team Emirates,285,12
Diego Ulissi,UAE Team Emirates,263,12
Samuele Battistella,Astana Qazaqstan Team,200,10
David De La Cruz,Astana Qazaqstan Team,14,10
Luis León Sánchez,Astana Qazaqstan Team,37,10
Wout Poels,Bahrain - Victorious,38,10
Fred Wright,Bahrain - Victorious,190,10
Bob Jungels,BORA - hansgrohe,162,10
Rui Costa,Intermarché - Circus - Wanty,778,10
Olav Kooij,Jumbo-Visma,154,10
Gonzalo Serrano,Movistar Team,10,10
Eddie Dunbar,Team Jayco AlUla,0,10
Bauke Mollema,Trek - Segafredo,112,10
Rafał Majka,UAE Team Emirates,187,10
Anthon Charmig,Uno-X Pro Cycling Team,210,10
Torstein Træen,Uno-X Pro Cycling Team,108,10
Matteo Fabbro,BORA - hansgrohe,55,8
Orluis Aular,Caja Rural - Seguros RGA,0,8
Eduard Prades,Caja Rural - Seguros RGA,0,8
Stanisław Aniołkowski,Human Powered Health,0,8
Barnabás Peák,Human Powered Health,0,8
Jonathan Castroviejo,INEOS Grenadiers,67,8
Laurens Huys,Intermarché - Circus - Wanty,24,8
Mike Teunissen,Intermarché - Circus - Wanty,24,8
Koen Bouwman,Jumbo-Visma,77,8
Sam Oomen,Jumbo-Visma,84,8
Iván García Cortina,Movistar Team,130,8
Antonio Pedrero,Movistar Team,46,8
Kenny Elissonde,Trek - Segafredo,79,8
Edward Theuns,Trek - Segafredo,39,8
Juan Sebastián Molano,UAE Team Emirates,54,8
Jonas Gregaard,Uno-X Pro Cycling Team,123,8
Alexander Kristoff,Uno-X Pro Cycling Team,2,8
Gianmarco Garofoli,Astana Qazaqstan Team,10,6
Javier Romo,Astana Qazaqstan Team,141,6
Christian Scaroni,Astana Qazaqstan Team,43,6
Simone Velasco,Astana Qazaqstan Team,185,6
Nico Denz,BORA - hansgrohe,10,6
Jesús Ezquerra,Burgos-BH,0,6
Daniel Navarro,Burgos-BH,0,6
Ander Okamika,Burgos-BH,10,6
Fernando Barceló,Caja Rural - Seguros RGA,63,6
Joel Nicolau,Caja Rural - Seguros RGA,0,6
Roger Adrià,Equipo Kern Pharma,0,6
Giovanni Carboni,Equipo Kern Pharma,1,6
Héctor Carretero,Equipo Kern Pharma,12,6
Mikel Bizkarra,Euskaltel - Euskadi,78,6
Joan Bou,Euskaltel - Euskadi,26,6
Mikel Iturria,Euskaltel - Euskadi,0,6
Gotzon Martín,Euskaltel - Euskadi,56,6
Antonio Jesús Soto,Euskaltel - Euskadi,86,6
Luca Covili,Green Project-Bardiani CSF-Faizanè,0,6
Filippo Fiorelli,Green Project-Bardiani CSF-Faizanè,0,6
Davide Gabburo,Green Project-Bardiani CSF-Faizanè,14,6
Alan Banaszek,Human Powered Health,0,6
Benjamin Perry,Human Powered Health,11,6
Laurens De Plus,INEOS Grenadiers,99,6
Omar Fraile,INEOS Grenadiers,105,6
Salvatore Puccio,INEOS Grenadiers,32,6
Madis Mihkels,Intermarché - Circus - Wanty,24,6
Loïc Vliegen,Intermarché - Circus - Wanty,24,6
Georg Zimmermann,Intermarché - Circus - Wanty,87,6
Lars Boven,Jumbo-Visma,8,6
Thomas Gloag,Jumbo-Visma,417,6
Tosh Van Der Sande,Jumbo-Visma,12,6
Jorge Arcas,Movistar Team,12,6
José Joaquín Rojas,Movistar Team,209,6
Tom Devriendt,Q36.5 Pro Cycling Team,0,6
Damien Howson,Q36.5 Pro Cycling Team,0,6
Matteo Moschetti,Q36.5 Pro Cycling Team,0,6
Kamiel Bonneu,Team Flanders - Baloise,0,6
Welay Berhe,Team Jayco AlUla,0,6
Lawson Craddock,Team Jayco AlUla,38,6
Alessandro De Marchi,Team Jayco AlUla,84,6
Blake Quick,Team Jayco AlUla,0,6
Amanuel Ghebreigzabhier,Trek - Segafredo,39,6
Mikkel Bjerg,UAE Team Emirates,0,6
Domen Novak,UAE Team Emirates,25,6
Niklas Eg,Uno-X Pro Cycling Team,2,6
Anders Skaarseth,Uno-X Pro Cycling Team,2,6
Cesare Benedetti,BORA - hansgrohe,10,4
Anton Palzer,BORA - hansgrohe,20,4
Andrés Camilo Ardila,Burgos-BH,0,4
José Manuel Díaz,Burgos-BH,0,4
Óscar Pelegrí,Burgos-BH,0,4
Pelayo Sánchez,Burgos-BH,0,4
Jon Barrenetxea,Caja Rural - Seguros RGA,0,4
Mulu Kinfe Hailemichael,Caja Rural - Seguros RGA,74,4
Sergio Roman Martín,Caja Rural - Seguros RGA,2,4
Jon Agirre,Equipo Kern Pharma,0,4
Urko Berrade,Equipo Kern Pharma,0,4
Pablo Castrillo,Equipo Kern Pharma,0,4
Iñigo Elosegui,Equipo Kern Pharma,0,4
Unai Cuadrado,Euskaltel - Euskadi,0,4
Xabier Isasa,Euskaltel - Euskadi,20,4
Riccardo Lucca,Green Project-Bardiani CSF-Faizanè,15,4
Alex Tolio,Green Project-Bardiani CSF-Faizanè,0,4
Alessandro Tonelli,Green Project-Bardiani CSF-Faizanè,0,4
Samuele Zoccarato,Green Project-Bardiani CSF-Faizanè,138,4
Stephen Bassett,Human Powered Health,0,4
August Jensen,Human Powered Health,0,4
Colin Joyce,Human Powered Health,0,4
Michel Hessmann,Jumbo-Visma,8,4
Lluís Mas,Movistar Team,10,4
Filippo Conca,Q36.5 Pro Cycling Team,0,4
Tobias Ludvigsson,Q36.5 Pro Cycling Team,0,4
Nicolò Parisini,Q36.5 Pro Cycling Team,0,4
Antonio Puppio,Q36.5 Pro Cycling Team,0,4
Ruben Apers,Team Flanders - Baloise,0,4
Toon Clynhens,Team Flanders - Baloise,0,4
Sander De Pestel,Team Flanders - Baloise,10,4
Lindsay De Vylder,Team Flanders - Baloise,0,4
Jules Hesters,Team Flanders - Baloise,0,4
Ward Vanhoof,Team Flanders - Baloise,10,4
Tsgabu Grmay,Team Jayco AlUla,0,4
Callum Scotson,Team Jayco AlUla,123,4
Louis Bendixen,Uno-X Pro Cycling Team,54,4